SITES	site0	site1
4987000	ACCEPTED	site1	252
4987000	STARTED	site1	252
5060000	RELEASED	site0	253
5060000	ACCEPTED	site1	253
5060000	STARTED	site1	252
5086000	RELEASED	site0	254
5086000	REJECTED	site0	254
5117000	RELEASED	site0	255
5117000	REJECTED	site0	255
5117000	RELEASED	site0	256
5117000	REJECTED	site0	256
5117000	RELEASED	site0	257
5117000	REJECTED	site0	257
5117000	RELEASED	site0	258
5117000	REJECTED	site0	258
5117000	RELEASED	site0	259
5117000	REJECTED	site0	259
5117000	RELEASED	site0	260
5117000	REJECTED	site0	260
5117000	RELEASED	site0	261
5117000	REJECTED	site0	261
5117000	RELEASED	site0	262
5117000	REJECTED	site0	262
5117000	RELEASED	site0	263
5117000	REJECTED	site0	263
5117000	RELEASED	site0	264
5117000	REJECTED	site0	264
5118000	RELEASED	site0	265
5118000	REJECTED	site0	265
5118000	RELEASED	site0	266
5118000	REJECTED	site0	266
5118000	RELEASED	site0	267
5118000	REJECTED	site0	267
5118000	RELEASED	site0	268
5118000	REJECTED	site0	268
5118000	RELEASED	site0	269
5118000	REJECTED	site0	269
5118000	RELEASED	site0	270
5118000	REJECTED	site0	270
5118000	RELEASED	site0	271
5118000	REJECTED	site0	271
5118000	RELEASED	site0	272
5118000	REJECTED	site0	272
5118000	RELEASED	site0	273
5118000	REJECTED	site0	273
5118000	RELEASED	site0	274
5118000	REJECTED	site0	274
5119000	RELEASED	site0	275
5119000	REJECTED	site0	275
5119000	RELEASED	site0	276
5119000	REJECTED	site0	276
5119000	RELEASED	site0	277
5119000	REJECTED	site0	277
5119000	RELEASED	site0	278
5119000	REJECTED	site0	278
5119000	RELEASED	site0	279
5119000	REJECTED	site0	279
5119000	RELEASED	site0	280
5119000	REJECTED	site0	280
5119000	RELEASED	site0	281
5119000	REJECTED	site0	281
5119000	RELEASED	site0	282
5119000	REJECTED	site0	282
5119000	RELEASED	site0	283
5119000	REJECTED	site0	283
5119000	RELEASED	site0	284
5119000	REJECTED	site0	284
5120000	RELEASED	site0	285
5120000	REJECTED	site0	285
5120000	RELEASED	site0	286
5120000	REJECTED	site0	286
5120000	RELEASED	site0	287
5120000	REJECTED	site0	287
5120000	RELEASED	site0	288
5120000	REJECTED	site0	288
5120000	RELEASED	site0	289
5120000	REJECTED	site0	289
5120000	RELEASED	site0	290
5120000	REJECTED	site0	290
5120000	RELEASED	site0	291
5120000	REJECTED	site0	291
5120000	RELEASED	site0	292
5120000	REJECTED	site0	292
5120000	RELEASED	site0	293
5120000	REJECTED	site0	293
5120000	RELEASED	site0	294
5120000	REJECTED	site0	294
5121000	RELEASED	site0	295
5121000	REJECTED	site0	295
5121000	RELEASED	site0	296
5121000	REJECTED	site0	296
5121000	RELEASED	site0	297
5121000	REJECTED	site0	297
5121000	RELEASED	site0	298
5121000	REJECTED	site0	298
5121000	RELEASED	site0	299
5121000	REJECTED	site0	299
5121000	RELEASED	site0	300
5121000	REJECTED	site0	300
5121000	RELEASED	site0	301
5121000	REJECTED	site0	301
5121000	RELEASED	site0	302
5121000	REJECTED	site0	302
5121000	RELEASED	site0	303
5121000	REJECTED	site0	303
5121000	RELEASED	site0	304
5121000	REJECTED	site0	304
5122000	RELEASED	site0	305
5122000	REJECTED	site0	305
5122000	RELEASED	site0	306
5122000	REJECTED	site0	306
5122000	RELEASED	site0	307
5122000	REJECTED	site0	307
5122000	RELEASED	site0	308
5122000	REJECTED	site0	308
5122000	RELEASED	site0	309
5122000	REJECTED	site0	309
5122000	RELEASED	site0	310
5122000	REJECTED	site0	310
5122000	RELEASED	site0	311
5122000	REJECTED	site0	311
5123000	RELEASED	site0	312
5123000	REJECTED	site0	312
5123000	RELEASED	site0	313
5123000	REJECTED	site0	313
5123000	RELEASED	site0	314
5123000	REJECTED	site0	314
5123000	RELEASED	site0	315
5123000	REJECTED	site0	315
5123000	RELEASED	site0	316
5123000	REJECTED	site0	316
5123000	RELEASED	site0	317
5123000	REJECTED	site0	317
5123000	RELEASED	site0	318
5123000	REJECTED	site0	318
5123000	RELEASED	site0	319
5123000	REJECTED	site0	319
5123000	RELEASED	site0	320
5123000	REJECTED	site0	320
5124000	RELEASED	site0	321
5124000	REJECTED	site0	321
5124000	RELEASED	site0	322
5124000	REJECTED	site0	322
5124000	RELEASED	site0	323
5124000	REJECTED	site0	323
5124000	RELEASED	site0	324
5124000	REJECTED	site0	324
5124000	RELEASED	site0	325
5124000	REJECTED	site0	325
5125000	RELEASED	site0	326
5125000	REJECTED	site0	326
5125000	RELEASED	site0	327
5125000	REJECTED	site0	327
5125000	RELEASED	site0	328
5125000	REJECTED	site0	328
5125000	RELEASED	site0	329
5125000	REJECTED	site0	329
5125000	RELEASED	site0	330
5125000	REJECTED	site0	330
5125000	RELEASED	site0	331
5125000	REJECTED	site0	331
5126000	RELEASED	site0	332
5126000	REJECTED	site0	332
5126000	RELEASED	site0	333
5126000	REJECTED	site0	333
5126000	RELEASED	site0	334
5126000	REJECTED	site0	334
5126000	RELEASED	site0	335
5126000	REJECTED	site0	335
5126000	RELEASED	site0	336
5126000	REJECTED	site0	336
5127000	RELEASED	site0	337
5127000	REJECTED	site0	337
5127000	RELEASED	site0	338
5127000	REJECTED	site0	338
5127000	RELEASED	site0	339
5127000	REJECTED	site0	339
5127000	RELEASED	site0	340
5127000	REJECTED	site0	340
5127000	RELEASED	site0	341
5127000	REJECTED	site0	341
5127000	RELEASED	site0	342
5127000	REJECTED	site0	342
5128000	RELEASED	site0	343
5128000	REJECTED	site0	343
5128000	RELEASED	site0	344
5128000	REJECTED	site0	344
5128000	RELEASED	site0	345
5128000	REJECTED	site0	345
5128000	RELEASED	site0	346
5128000	REJECTED	site0	346
5128000	RELEASED	site0	347
5128000	REJECTED	site0	347
5129000	RELEASED	site0	348
5129000	REJECTED	site0	348
5129000	RELEASED	site0	349
5129000	REJECTED	site0	349
5129000	RELEASED	site0	350
5129000	REJECTED	site0	350
5129000	RELEASED	site0	351
5129000	REJECTED	site0	351
5129000	RELEASED	site0	352
5129000	REJECTED	site0	352
5129000	RELEASED	site0	353
5129000	REJECTED	site0	353
5130000	RELEASED	site0	354
5130000	REJECTED	site0	354
5130000	RELEASED	site0	355
5130000	REJECTED	site0	355
5130000	RELEASED	site0	356
5130000	REJECTED	site0	356
5130000	RELEASED	site0	357
5130000	REJECTED	site0	357
5130000	RELEASED	site0	358
5130000	REJECTED	site0	358
5130000	RELEASED	site0	359
5130000	REJECTED	site0	359
5131000	RELEASED	site0	360
5131000	REJECTED	site0	360
5131000	RELEASED	site0	361
5131000	REJECTED	site0	361
5131000	RELEASED	site0	362
5131000	REJECTED	site0	362
5131000	RELEASED	site0	363
5131000	REJECTED	site0	363
5131000	RELEASED	site0	364
5131000	REJECTED	site0	364
5132000	RELEASED	site0	365
5132000	REJECTED	site0	365
5132000	RELEASED	site0	366
5132000	REJECTED	site0	366
5132000	RELEASED	site0	367
5132000	REJECTED	site0	367
5132000	RELEASED	site0	368
5132000	REJECTED	site0	368
5132000	RELEASED	site0	369
5132000	REJECTED	site0	369
5132000	RELEASED	site0	370
5132000	REJECTED	site0	370
5132000	RELEASED	site0	371
5132000	REJECTED	site0	371
5132000	RELEASED	site0	372
5132000	REJECTED	site0	372
5133000	RELEASED	site0	373
5133000	REJECTED	site0	373
5133000	RELEASED	site0	374
5133000	REJECTED	site0	374
5133000	RELEASED	site0	375
5133000	REJECTED	site0	375
5133000	RELEASED	site0	376
5133000	REJECTED	site0	376
5133000	RELEASED	site0	377
5133000	REJECTED	site0	377
5133000	RELEASED	site0	378
5133000	REJECTED	site0	378
5239000	RELEASED	site0	379
5239000	REJECTED	site0	379
5262000	RELEASED	site0	380
5262000	REJECTED	site0	380
5294000	RELEASED	site0	381
5294000	REJECTED	site0	381
5316000	RELEASED	site0	382
5316000	REJECTED	site0	382
5325000	RELEASED	site0	383
5325000	REJECTED	site0	383
5649000	COMPLETED	site1	252
5649000	STARTED	site1	253
5650000	COMPLETED	site1	253
5674000	RELEASED	site0	384
5674000	ACCEPTED	site1	384
5674000	STARTED	site1	384
5675000	RELEASED	site0	385
5675000	ACCEPTED	site1	385
5675000	STARTED	site1	384
5725000	RELEASED	site0	386
5725000	ACCEPTED	site1	386
5725000	STARTED	site1	384
5761000	RELEASED	site0	387
5761000	REJECTED	site0	387
6009000	COMPLETED	site1	384
6009000	STARTED	site1	386
6010000	COMPLETED	site1	386
6010000	STARTED	site1	385
6205000	COMPLETED	site1	385
6589000	RELEASED	site0	388
6589000	ACCEPTED	site1	388
6589000	STARTED	site1	388
6590000	RELEASED	site0	389
6590000	ACCEPTED	site1	389
6590000	STARTED	site1	388
6591000	RELEASED	site0	390
6591000	ACCEPTED	site1	390
6591000	STARTED	site1	388
6592000	RELEASED	site0	391
6592000	REJECTED	site0	391
6654000	RELEASED	site0	392
6654000	ACCEPTED	site1	392
6654000	STARTED	site1	388
6664000	COMPLETED	site1	388
6664000	STARTED	site1	389
6692000	RELEASED	site0	393
6692000	REJECTED	site0	393
6699000	RELEASED	site0	394
6699000	ACCEPTED	site1	394
6699000	STARTED	site1	389
6741000	RELEASED	site0	395
6741000	REJECTED	site0	395
6752000	RELEASED	site0	396
6752000	ACCEPTED	site1	396
6752000	STARTED	site1	389
6790000	COMPLETED	site1	389
6790000	STARTED	site1	394
6804000	COMPLETED	site1	394
6804000	STARTED	site1	390
6846000	RELEASED	site0	397
6846000	ACCEPTED	site1	397
6846000	STARTED	site1	390
6895000	RELEASED	site0	398
6895000	REJECTED	site0	398
6899000	COMPLETED	site1	390
6899000	STARTED	site1	392
6915000	COMPLETED	site1	392
6915000	STARTED	site1	397
6958000	COMPLETED	site1	397
6958000	STARTED	site1	396
6989000	RELEASED	site0	399
6989000	ACCEPTED	site1	399
6989000	STARTED	site1	399
7036000	COMPLETED	site1	399
7036000	STARTED	site1	396
7053000	RELEASED	site0	400
7053000	REJECTED	site0	400
7073000	RELEASED	site0	401
7073000	REJECTED	site0	401
7088000	COMPLETED	site1	396
7153000	RELEASED	site0	402
7153000	ACCEPTED	site1	402
7153000	STARTED	site1	402
7226000	COMPLETED	site1	402
7248000	RELEASED	site0	403
7248000	ACCEPTED	site1	403
7248000	STARTED	site1	403
7329000	COMPLETED	site1	403
7346000	RELEASED	site0	404
7346000	ACCEPTED	site1	404
7346000	STARTED	site1	404
